post_id,reply_id,Stance,
1493911086164328451,1493911639648780288,Against,
1546169879874703361,1546187338555990016,Support,
1551919150116745216,1551920489198657536,Support,
1547063081884426241,1547069998258077696,Against,
1535630434553372673,1535662881399877633,Support,
1536060907125620739,1536392500872507393,Support,
1494684292215103490,1494703769350725640,Against,
1536421410574417929,1536423177538224131,Against,
1493655296090128384,1493682172548595712,Support,
1492494681749573637,1492626233460510720,Support,
